Carpark Name,Postcode,Description,EASTING,NORTHING
Barnard Castle Galgate (Morrisons),DL128EQ,P&D,405101,516594
Barnard Castle Queen Street (Hole in the Wall),DL128GB,P&D,405124,516350
Baybridge (Picnic area near Blanchland),DH8 9UB,Free country park,395759,549972
Belmont Park and Ride,DH1 1SR,Park and Ride,430680,544535
Bishop Auckland Batts Terrace,DL147QE,Free,421067,530351
Bishop Auckland Castle Chare,DL147JF,P&D,421231,530006
Bishop Auckland Dam Head,DL147PA,Free,420132,529791
Bishop Auckland Gibbon Street,DL147DL,Free,420823,529697
Bishop Auckland Kingsway aka R/O Belverdere Club,DL147JN,P&D,421081,529691
Bishop Auckland South Terrace,DL147LD,P&D,421070,529514
Bishop Auckland Tenters Street (aka adj. 5-11 Tenters Street),DL147AD,P&D,420909,529848
Bishop Auckland Victoria Terrace,DL147JH,P&D,421156,529874
Bishop Auckland West Mills,DL147PA,Free,420252,529904
Blackhall (Blackhall Rock Picnic Area),TS27 4AT,Free,447134,538730
"Blackhall, Middle Street (Pit Wheel)",TS274ED,Free (Coast),445702,539573
Blanchland (Carricks Picnic Area on Derwent Reservoir New Blanchland),DH8 9PL,Free country park,398362,551357
Bracks Road (Auckland Walk),DL14 7GF,Free country park,422166,529122
Brandon Grove (rear of Sainsbury's Local),DH7 8AR,Free (Housing Estate parking),423449,539203
Brandon/Bishop Walk (Brancepeth Station),DH7 8EN,Free country park,421946,538212
"Broom Park (Broompark Picnic Area, Durham)",DH7 7RL,Free country park,425102,541513
"Carrville, Broomside Court (Housing Estate Parking)",DH1 2QU,Free (Housing Estate Parking),430735,543709
Chester le Street (Waldridge Fell),DH2 3RY,Free country park,424972,549883
Chester le Street Burns Green,DH3 3QH,P&D,427724,551418
Chester le Street Civic Centre A (Visitor Car Park),DH3 3TY,P&D,427514,551891
Chester le Street Civic Centre B (Staff Car Park),DH3 3SN,P&D,427547,551844
Chester le Street Cone Terrace,DH3 3QH,P&D,427599,551555
Chester le Street Cone Terrace (adjacent to taxi rank),DH3 3RF,P&D,427504,551585
Chester le Street Cricket Club aka Mains Park Road,DH3 3PF,Free (Town Centre),427533,550934
Chester le Street Foundry Lane,DH3 3EJ,P&D,427395,551328
Chester le Street Leisure Centre,DH3 3QH,P&D,427713,551355
Chester le Street Low Chare aka Blands Opening,DH3 3QF,P&D,427526,551463
Chester le Street Lucy Street aka Villiers Place,DH3 3UP,P&D,427355,551731
Chester le Street Middle Chare,DH3 3QD,P&D,427526,551362
Chester le Street North Burns,DH3 3TF,P&D,427206,551685
Chester le Street Osbourne Road,DH3 3DS,P&D,427391,551175
Chester le Street Riverside Donald Owen Clark A,DH3 3SJ,P&D (Leisure Services),428350,550811
Chester le Street Riverside Donald Owen Clark B,DH3 3SJ,P&D (Leisure Services),428347,550830
Chester le Street Riverside Donald Owen Clark C,DH3 3SJ,P&D (Leisure Services),428292,550830
Chester le Street Riverside North Ropery Lane,DH3 3SH,P&D (Leisure Services),428155,550939
Chester le Street Riverside Pavillion Overflow,DH3 3QT,P&D (Leisure Services),428078,550706
